Teams,Places,Matches,Wins,Draws,Loses,Goals,Goals Diff,Points,Year,Spend,Balance,Spend_Rank
Barcelona,2  ,38,21,10,7,68:38,30,73,21/22,6000000.0,-6000000.0,14
Rayo Vallecano,12  ,38,11,9,18,39:50,-11,42,21/22,4300000.0,-2100000.0,15
Real Betis,5  ,38,19,8,11,62:40,22,65,21/22,3250000.0,10750000.0,16
Real Sociedad,6  ,38,17,11,10,40:37,3,62,21/22,2500000.0,-2500000.0,17
Alavés,20  ,38,8,7,23,31:65,-34,31,21/22,1600000.0,1900000.0,18
Levante,19  ,38,8,11,19,51:76,-25,35,21/22,875000.0,-875000.0,19
Athletic,8  ,38,14,13,11,43:36,7,55,21/22,0.0,0.0,20
Barcelona,1  ,38,28,4,6,70:20,50,88,22/23,158000000.0,-118500000.0,1
Real Madrid,2  ,38,24,6,8,75:36,39,78,22/23,80000000.0,12150000.0,2
Real Sociedad,4  ,38,21,8,9,51:35,16,71,22/23,55000000.0,25500000.0,3
UD Almería,17  ,38,11,8,19,49:65,-16,41,22/23,37080000.0,-14880000.0,4
Sevilla FC,11  ,38,13,10,15,47:54,-7,49,22/23,30400000.0,61100000.0,5
Atlético Madrid,3  ,38,23,8,7,70:33,37,77,22/23,29500000.0,-1250000.0,6
Real Betis,6  ,38,17,9,12,46:41,5,60,22/23,27400000.0,-12650000.0,7
Celta de Vigo,13  ,38,11,10,17,43:53,-10,43,22/23,23140000.0,-5940000.0,8
Barcelona,1  ,38,28,4,6,70:20,50,88,22/23,20600000.0,-2800000.0,9
Getafe,15  ,38,10,12,16,34:45,-11,42,22/23,15750000.0,4750000.0,10
Girona,10  ,38,13,10,15,58:55,3,49,22/23,15000000.0,-14250000.0,11
Rayo Vallecano,12  ,38,13,10,15,45:53,-8,49,22/23,14300000.0,-14100000.0,12
RCD Mallorca,9  ,38,14,8,16,37:43,-6,50,22/23,13420000.0,-8119999.999999999,13
Elche CF,20  ,38,5,10,23,30:67,-37,25,22/23,13160000.0,-3760000.0,14
Valencia,14  ,38,11,9,18,42:45,-3,42,22/23,12500000.0,42100000.0,15
Real Valladolid,18  ,38,11,7,20,33:63,-30,40,22/23,12300000.0,-11000000.0,16
Cádiz CF,16  ,38,10,12,16,30:53,-23,42,22/23,11500000.0,-10500000.0,17
Villarreal,5  ,38,19,7,12,59:40,19,64,22/23,6480000.0,25120000.0,18
CA Osasuna,7  ,38,15,8,15,37:42,-5,53,22/23,2000000.0,-1750000.0,19
Athletic,8  ,38,14,9,15,47:43,4,51,22/23,0.0,0.0,20
Real Madrid,1  ,38,29,8,1,87:26,61,95,23/24,129500000.0,-122500000.0,1
Atlético Madrid,4  ,38,24,4,10,70:43,27,76,23/24,54500000.0,48600000.0,2
UD Almería,19  ,38,3,12,23,43:75,-32,21,23/24,52000000.0,-800000.0,3
Barcelona,2  ,38,26,7,5,79:44,35,85,23/24,43400000.0,64040000.00000001,4
Real Betis,7  ,38,14,15,9,48:45,3,57,23/24,32500000.0,37500000.0,5
Sevilla FC,13  ,38,10,11,17,48:54,-6,41,23/24,32000000.0,-5400000.0,6
Celta de Vigo,14  ,38,10,11,17,46:57,-11,41,23/24,31200000.0,15000000.0,7
RCD Mallorca,15  ,38,8,16,14,33:44,-11,40,23/24,24300000.0,-2300000.0,8
Girona,3  ,38,25,6,7,85:46,39,81,23/24,22250000.0,-4350000.0,9
Real Sociedad,6  ,38,16,12,10,51:39,12,60,23/24,20400000.0,-2600000.0,10
Rayo Vallecano,17  ,38,8,14,16,29:48,-19,38,23/24,17300000.0,-11600000.0,11
Granada CF,20  ,38,4,9,25,38:79,-41,21,23/24,17150000.0,-6700000.0,12
Villarreal,8  ,38,14,11,13,65:65,0,53,23/24,12500000.0,99400000.0,13
Getafe,12  ,38,10,13,15,42:54,-12,43,23/24,11000000.0,-3640000.0,14
Alavés,10  ,38,12,10,16,36:46,-10,46,23/24,10400000.0,-7900000.0,15
Valencia,9  ,38,13,10,15,40:45,-5,49,23/24,10400000.0,17000000.0,16
CA Osasuna,11  ,38,12,9,17,45:56,-11,45,23/24,6500000.0,-2300000.0,17
Cádiz CF,18  ,38,6,15,17,26:55,-29,33,23/24,6000000.0,4000000.0,18
UD Las Palmas,16  ,38,10,10,18,33:47,-14,40,23/24,4800000.0,-4800000.0,19
Athletic,5  ,38,19,11,8,61:37,24,68,23/24,0.0,0.0,20
